0,1,0.2447188240404593
1,2,0.19788148631437782
2,3,0.21729895289977266
3,4,0.16968197464406262
4,5,0.3410565480638036
5,6,0.27360396296413836
6,7,0.14186082229646538
7,8,0.16968197464406262
8,9,0.6136798722445084
9,10,0.30929125372249233
10,11,0.20445819759568357
11,12,0.17167823316928688
12,13,0.7218758998159683
13,14,0.3073071262803309
14,15,0.14186082229646538
15,16,0.16968197464406262
16,17,0.6503392383205687
17,18,0.18275307965165907
18,19,0.1357455797152501
19,20,0.17500027041376925
20,0,1.0
1,5,0.4086483091985432
5,9,0.1357455797152501
9,13,0.10731630355003532
9,17,0.24706068432777728
2,6,0.6013544502537587
6,10,0.14042086026113507
10,14,0.1734448849155149
14,18,0.23996654983188098
3,7,0.6088588501934011
7,11,0.2267665334134258
11,15,0.1968618621468737
15,19,0.21886132174588857
4,8,0.6088588501934011
8,12,0.2276522579163118
12,16,0.19788148631437782
16,20,0.23996654983188098
